Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
03:59:47,8.5,0.0,2.6,88.4,0.4,2,14480,4168,10.15,1.24,10.15,2.56,1.89
03:59:48,7.9,0.0,2.1,89.9,0.0,1,14026,3988,9.82,1.23,9.82,2.30,1.86
03:59:49,7.9,0.0,2.6,88.9,0.5,3,14243,4023,9.89,1.23,9.89,2.34,1.86
03:59:50,10.3,0.0,2.9,86.5,0.2,2,14090,4841,10.92,1.24,10.92,3.25,1.90
03:59:51,9.0,0.0,2.4,88.6,0.0,2,14258,4449,9.93,1.23,9.93,2.36,1.88
03:59:52,8.2,0.0,2.4,89.4,0.0,1,13848,4037,9.75,1.22,9.75,2.22,1.85
03:59:53,7.1,0.0,2.5,90.4,0.0,1,14071,4043,10.12,1.24,10.12,2.47,1.88
03:59:54,8.3,0.0,2.3,89.5,0.0,2,14351,4116,9.96,1.23,9.96,2.38,1.88
03:59:55,8.1,0.0,2.5,89.1,0.3,1,14049,4061,9.72,1.22,9.72,2.19,1.86
03:59:56,7.9,0.0,2.0,86.9,3.2,2,14394,4358,10.93,1.28,10.93,3.05,1.93
03:59:57,8.4,0.0,3.0,88.7,0.0,1,14652,4299,10.19,1.25,10.19,2.50,1.90
03:59:58,6.8,0.0,2.0,91.2,0.0,1,12205,3646,7.86,0.85,7.86,1.58,1.67
03:59:59,8.6,0.0,2.5,88.9,0.0,2,13898,3956,9.67,1.22,9.67,2.14,1.91
04:00:00,8.5,0.0,2.4,89.1,0.0,1,14278,4060,9.84,1.24,9.84,2.25,1.94
04:00:01,8.6,0.0,2.4,87.7,1.4,4,14454,4419,10.56,1.27,10.56,2.77,1.90
04:00:02,8.1,0.0,3.1,88.5,0.4,2,14113,4044,10.18,1.23,10.18,2.59,1.88
04:00:03,8.6,0.0,2.5,88.9,0.0,2,14288,4115,9.61,1.19,9.61,2.24,1.83
04:00:04,8.7,0.0,2.6,88.7,0.0,2,14079,4067,9.64,1.20,9.64,2.23,1.83
04:00:05,8.9,0.0,2.4,88.7,0.0,2,14037,4027,9.89,1.21,9.89,2.45,1.82
04:00:06,9.2,0.0,3.2,87.5,0.0,3,14227,4125,9.86,1.22,9.86,2.38,1.85
04:00:07,8.6,0.0,2.0,89.2,0.1,5,14092,4002,10.09,1.21,10.09,2.57,1.83
04:00:08,8.6,0.0,2.3,89.1,0.0,2,14571,4060,10.07,1.23,10.07,2.46,1.90
04:00:09,8.6,0.0,2.6,88.8,0.0,2,13908,4008,9.86,1.22,9.86,2.32,1.87
04:00:10,7.5,0.0,3.5,89.0,0.0,2,14125,4075,9.94,1.22,9.94,2.37,1.88
04:00:11,8.8,0.0,2.5,88.7,0.0,2,14425,4075,10.02,1.22,10.02,2.42,1.94
04:00:12,9.2,0.0,2.4,88.4,0.0,3,14445,4035,10.10,1.23,10.10,2.44,1.92
04:00:13,8.3,0.0,3.0,88.7,0.0,2,13941,3997,9.66,1.21,9.66,2.16,1.89
04:00:14,7.7,0.0,2.5,89.5,0.3,2,14247,4017,9.74,1.21,9.74,2.23,1.90
04:00:15,8.3,0.0,1.5,90.2,0.0,2,13710,3951,9.84,1.23,9.84,2.22,1.86
04:00:16,8.1,0.0,2.3,89.7,0.0,5,14182,3976,9.81,1.23,9.81,2.26,1.89
04:00:17,7.2,0.0,2.4,87.7,2.8,2,14181,5712,10.46,1.24,10.46,2.79,1.88
04:00:18,7.9,0.0,2.6,89.5,0.0,2,13879,3979,9.35,1.19,9.35,1.99,1.87
04:00:19,8.8,0.0,2.2,89.0,0.0,2,14263,4056,9.55,1.20,9.55,2.15,1.88
04:00:20,7.4,0.0,2.3,90.3,0.0,2,14097,4002,9.74,1.20,9.74,2.28,1.94
04:00:21,8.2,0.0,2.1,89.7,0.0,2,14003,4038,9.79,1.21,9.79,2.31,1.89
04:00:22,8.4,0.0,2.1,87.9,1.5,3,14330,4065,10.14,1.24,10.14,2.55,1.89
04:00:23,8.0,0.0,2.8,87.2,2.0,1,14800,4245,10.63,1.26,10.63,2.87,1.92
04:00:24,8.8,0.0,3.3,83.0,4.9,2,23745,6482,13.78,1.42,13.78,5.22,1.90
04:00:25,12.2,0.0,3.9,84.0,0.0,2,18766,5629,15.60,1.43,15.60,6.82,1.98
04:00:26,8.6,0.0,2.8,88.7,0.0,1,15019,4332,10.28,1.25,10.28,2.63,1.89
04:00:27,8.6,0.0,2.0,89.3,0.0,1,14900,4358,10.37,1.24,10.37,2.70,1.91
04:00:28,9.4,0.0,2.4,88.2,0.0,1,15137,4317,10.22,1.24,10.22,2.58,1.93
04:00:29,9.2,0.0,1.9,88.2,0.8,1,14637,4227,10.27,1.24,10.27,2.61,1.88
04:00:30,9.9,0.0,3.4,86.7,0.0,2,17478,4948,11.66,1.31,11.66,3.70,1.94
04:00:31,9.2,0.0,3.6,87.1,0.0,1,16887,4406,10.45,1.25,10.45,2.77,1.89
04:00:32,7.5,0.0,2.2,90.4,0.0,1,14186,4189,9.65,1.20,9.65,2.20,1.86
04:00:33,7.5,0.0,2.2,90.3,0.0,2,14046,4081,9.89,1.22,9.89,2.35,1.86
04:00:34,5.8,0.0,2.4,90.1,1.6,1,13797,3990,10.65,1.27,10.65,2.87,1.87
04:00:35,7.6,0.0,1.8,90.5,0.1,1,14145,3980,9.81,1.21,9.81,2.31,1.92
04:00:36,8.3,0.0,2.3,89.1,0.4,2,14594,4123,10.04,1.22,10.04,2.47,1.94
04:00:37,8.3,0.0,2.6,89.1,0.0,1,14011,4066,9.71,1.20,9.71,2.26,1.89
04:00:38,7.1,0.0,1.8,89.2,1.9,1,13855,3969,10.25,1.23,10.25,2.65,1.87
04:00:39,8.3,0.0,2.4,88.3,1.0,1,14189,4051,10.61,1.24,10.61,2.93,1.91
04:00:40,7.0,0.0,3.4,89.4,0.1,1,14249,4070,9.63,1.19,9.63,2.19,1.92
04:00:41,7.7,0.0,3.4,88.7,0.2,2,14116,4004,9.71,1.20,9.71,2.24,1.89
04:00:42,7.8,0.0,2.6,89.6,0.0,2,14349,4090,10.40,1.24,10.40,2.71,1.90
04:00:43,6.9,0.0,2.6,89.2,1.3,1,14097,5212,10.28,1.25,10.28,2.60,1.88
04:00:44,8.1,0.0,2.1,89.7,0.0,1,13315,3833,9.07,0.98,9.07,2.20,1.76
04:00:45,7.6,0.0,2.0,90.4,0.0,3,13591,3963,9.44,1.17,9.44,2.06,1.86
04:00:46,8.3,0.0,2.5,89.2,0.0,2,13713,4060,9.29,1.20,9.29,1.95,1.85
